iIdConsultorio,CodReferencia,iidproducto,Cantidad,CantidadUsada
4,922,1451,6,12
16,635,38,712,58
16,635,497,29,97
16,635,660,0,0
16,635,1569,23,23
16,635,1596,0,0
3,893,540,0,0
3,893,714,24,85
3,893,1138,3,3
3,893,1451,4,5
6,903,103,233,218
6,903,535,38,55
2,986,84,0,0
2,986,109,10,9
2,986,142,61,59
2,986,497,7,7
2,986,534,0,0
2,986,535,0,0
2,986,540,0,0
2,986,1138,50,50
2,986,1139,30,32
2,986,1451,8,8
16,638,41,3,17
16,638,497,23,40
16,638,535,18,18
16,638,540,0,0
16,638,662,67,9
16,638,1783,0,0
5,888,41,14,14
5,888,497,44,94
5,888,534,0,0
5,888,535,46,13
5,888,540,0,0
5,888,1479,27,54
18,164,534,11,11
18,164,540,5,5
19,181,497,81,97
19,181,534,0,0
19,181,535,69,14
19,181,540,0,0
19,181,691,1,1
19,181,979,91,252
3,896,497,0,0
3,896,716,144,128
3,896,1451,43,72
4,925,535,0,0
4,925,540,0,0
4,925,714,14,32
4,925,715,1,1
4,925,1451,5,7
6,906,260,23,36
6,906,540,0,0
6,906,662,25,39
14,19,1101,0,0
2,989,109,7,7
2,989,534,0,0
2,989,540,0,0
2,989,714,19,19
2,989,715,25,22
2,989,716,3,3
2,989,717,0,0
2,989,1104,12,5
2,989,1018,0,0
2,989,1451,35,37
2,989,1638,0,0
3,899,109,7,7
3,899,497,3,2
3,899,534,0,0
3,899,535,0,0
3,899,540,0,0
3,899,1569,22,21
19,185,41,17,18
19,185,118,19,15
19,185,33,243,32
19,185,497,51,56
19,185,534,0,0
19,185,540,0,0
19,185,662,5,5
19,185,639,45,55
19,185,1475,0,0
5,891,534,0,0
5,891,540,0,0
18,166,103,17,30
18,166,540,3,3
4,928,535,0,0
4,928,716,74,147
16,641,41,0,7
16,641,118,0,0
16,641,120,50,14
16,641,670,990,442
16,641,733,527,277
16,641,794,370,18
16,641,1479,14,116
16,641,1451,3,6
16,641,1783,270,162
6,908,38,151,103
6,908,33,93,21
6,908,260,20,35
6,908,534,0,0
6,908,535,11,19
6,908,540,0,0
5,893,109,27,14
5,893,118,32,22
5,893,497,31,57
5,893,535,31,10
5,893,540,0,0
5,893,715,17,27
5,893,690,105,65
5,893,1569,160,105
5,893,1451,21,42
5,893,1628,148,147
5,893,1783,212,144
4,931,1,15,9
4,931,497,2,3
4,931,535,0,0
4,931,540,0,0
4,931,1569,33,23
4,931,1596,141,94
4,931,1781,0,0
18,168,103,14,18
18,168,34,0,0
18,168,535,3,2
18,168,540,6,5
18,168,662,18,23
3,901,1,0,0
3,901,535,0,0
3,901,540,0,0
3,901,870,0,0
19,187,1,4,13
19,187,497,58,56
19,187,535,25,8
19,187,540,0,0
16,643,41,12,89
16,643,109,1,1
16,643,118,40,27
16,643,7,170,181
16,643,497,20,32
16,643,535,139,89
16,643,540,0,0
16,643,715,36,45
16,643,1569,52,39
16,643,1451,3,8
16,643,1628,74,17
2,993,109,4,4
2,993,118,16,17
2,993,497,27,27
2,993,535,0,0
2,993,540,0,0
2,993,923,28,20
2,993,931,9,7
2,993,1590,0,0
2,993,1591,1,1
2,993,1592,0,0
2,993,1593,0,0
2,993,1594,1,1
6,910,260,26,28
6,910,261,296,90
6,910,535,118,179
6,910,540,0,0
6,910,624,235,95
6,910,1569,139,178
5,895,7,180,245
5,895,493,2811,29
5,895,497,15,29
5,895,535,125,22
5,895,540,0,0
5,895,838,100,39
4,934,497,53,13
4,934,535,0,0
4,934,540,0,0
4,934,714,22,27
4,934,715,10,5
4,934,1564,22,13
4,934,1138,1,1
4,934,1139,46,34
4,934,1451,19,10
2,996,109,49,49
2,996,24,45,23
2,996,535,0,0
2,996,540,0,0
2,996,924,11,11
2,996,1024,2,2
2,996,1006,33,76
2,996,1451,13,13
