iidGarantia,iidDetalle
289511,287600
289522,287712
289700,288215
289701,288217
289906,289700
289907,289701
289997,288178
290055,288247
290056,288248
290341,288260
290385,288568
290387,288755
290508,288386
290519,289854
290941,210570
291175,255774
291349,290818
291403,210786
291405,210788
291763,291461
291862,291275
291951,291627
292037,280372
292129,280486
292130,281009
292204,292130
292215,292204
292306,283056
292413,284290
292436,284311
292572,280805
292998,292747
293102,288039
293108,261636
293117,292864
293619,289830
293662,289972
293706,293215
293708,293706
293709,202893
293890,292143
293976,293819
293977,293817
294191,292079
294197,287869
294198,286906
294199,286905
294215,291349
294277,287934
294278,287935
294279,287936
294280,287938
294281,287939
294282,287940
294297,290551
294298,290552
294299,290553
294506,281804
294507,281803
294508,281802
294515,281800
294555,290714
294556,290715
294557,290716
294558,290764
294559,290766
294560,290767
294702,288755
294703,288756
294762,281808
294763,281807
294764,281806
294765,281805
294903,281810
294904,281812
294905,281813
294906,281814
295248,236321
295254,294758
295300,290745
295336,295059
295462,294758
295491,294198
295513,294279
295514,294282
295758,286404
296164,296050
296191,286666
296199,249427
296258,294472
296606,249426
296681,294983
296851,286013
296877,289522
297080,285397
297151,290816
297152,297151
297210,285405
297215,285407
297464,285549
297548,269830
297549,269831
297550,269832
297551,269833
297840,229228
297862,272982
297863,272983
297864,272984
297865,272986
297895,225771
297955,297053
298044,290040
298106,297542
298118,297866
298360,285551
299031,298118
299316,237876
299317,237877
299759,298624
300428,298122
300522,298429
300678,299921
300886,296637
300926,295039
300931,296801
301465,300886
302146,292804
302287,239621
302393,301543
302404,295710
302418,302188
302554,291051
302561,295712
302598,301688
302751,291092
303060,302498
303427,294773
304171,302017
304342,302018
304575,304521
304841,240775
304842,233548
304862,295225
304906,298873
304956,298890
305029,302983
305030,302984
305031,302985
305032,302986
305033,302987
305034,302988
305060,304342
305164,280135
305218,280166
305278,300025
305279,300094
305338,280290
305543,297215
305544,285409
305561,295969
305562,295970
305563,295973
305564,295974
305565,295975
305566,295976
305567,295977
305568,295978
305569,295983
305570,295986
305571,295987
305572,295972
305573,295979
305574,295980
305575,295981
305576,295982
305644,280293
305645,280294
305750,297464
305751,285550
305755,298360
305756,285552
305813,305546
305878,305744
305902,296531
305903,296532
305904,296534
305905,296535
305906,296538
305907,296539
305914,295984
305915,295985
305958,303521
305960,303522
305961,303523
305962,303524
305963,303525
305964,303519
306038,296520
306040,296521
306041,296522
306042,296524
306043,296525
306044,296526
306045,296527
306046,296528
306047,296529
306049,305575
306050,295984
306051,295985
306063,296536
306064,296537
306250,304565
306290,303929
306291,303930
306292,303931
306293,303932
306294,303933
306298,303936
306461,277747
306462,277796
306604,306191
306704,306348
306843,290139
306864,290454
306916,290570
307380,264575
307439,278210
307629,264932
307884,307515
307907,307522
307911,307894
307932,306462
308052,308002
308235,308026
308449,301475
308525,293113
308526,293112
308595,293157
308824,306627
308869,307861
309040,301654
309111,305708
309218,289997
