iIdBodega,iIdTipoMov,iIdMovimiento,iIdproducto,dCantidad,iIdBodegaSolicita,dCantidadAprobada,StockActual
1,1,188,179,1.0000,5,1.0000,5.00
1,1,188,229,10.0000,5,10.0000,20.00
1,1,898,17,2.0000,6,2.0000,18.00
1,1,898,2,5.0000,6,5.0000,6.00
1,1,898,4,3.0000,6,3.0000,5.00
1,1,898,168,10.0000,6,10.0000,27.00
1,1,898,51,15.0000,6,15.0000,20.00
1,1,899,167,3.0000,6,3.0000,3.00
1,1,900,3,3.0000,6,3.0000,0.00
1,1,900,51,15.0000,6,15.0000,5.00
1,1,900,168,15.0000,6,15.0000,12.00
1,1,901,167,3.0000,6,3.0000,0.00
1,1,613,192,1.0000,3,1.0000,7.00
1,1,613,242,2.0000,3,2.0000,61.00
1,1,614,176,2.0000,3,2.0000,2.00
1,1,614,179,1.0000,3,1.0000,4.00
1,1,189,233,18.0000,5,18.0000,93.00
1,1,189,234,18.0000,5,18.0000,5.00
1,1,189,235,18.0000,5,18.0000,878.00
1,1,902,3,5.0000,6,5.0000,25.00
1,1,902,168,10.0000,6,10.0000,12.00
1,1,902,51,10.0000,6,10.0000,15.00
1,1,903,242,4.0000,6,4.0000,61.00
1,1,903,41,1.0000,6,1.0000,4.00
1,1,615,242,3.0000,3,3.0000,54.00
1,1,616,170,10.0000,3,10.0000,10.00
1,1,904,4,5.0000,6,5.0000,8.00
1,1,904,3,5.0000,6,5.0000,20.00
1,1,905,242,4.0000,6,4.0000,54.00
1,1,905,41,1.0000,6,1.0000,3.00
1,1,617,242,3.0000,3,3.0000,48.00
1,1,617,192,2.0000,3,2.0000,5.00
1,1,906,2,3.0000,6,3.0000,3.00
1,1,906,3,2.0000,6,2.0000,18.00
1,1,25,242,3.0000,1,3.0000,0.00
1,1,907,242,3.0000,6,3.0000,45.00
1,1,618,242,3.0000,3,3.0000,43.00
1,1,618,192,1.0000,3,1.0000,4.00
1,1,618,122,2.0000,3,2.0000,6.00
1,1,619,181,5.0000,3,5.0000,24.00
1,1,619,115,19.0000,3,19.0000,0.00
1,1,190,243,1.0000,5,1.0000,199.00
1,1,908,3,5.0000,6,5.0000,13.00
1,1,908,2,2.0000,6,2.0000,1.00
1,1,909,242,3.0000,6,2.0000,43.00
1,1,620,243,99.0000,3,99.0000,0.00
1,1,191,243,99.0000,5,99.0000,100.00
1,1,910,3,2.0000,6,2.0000,11.00
1,1,910,4,3.0000,6,3.0000,5.00
1,1,910,168,10.0000,6,10.0000,2.00
1,1,910,51,6.0000,6,6.0000,9.00
1,1,910,126,2.0000,6,2.0000,13.00
1,1,621,68,1.0000,3,1.0000,0.00
1,1,621,242,2.0000,3,2.0000,39.00
1,1,622,201,1.0000,3,1.0000,5.00
1,1,192,243,100.0000,5,100.0000,0.00
1,1,193,232,200.0000,5,200.0000,1800.00
1,1,911,242,3.0000,6,2.0000,39.00
1,1,911,165,1.0000,6,1.0000,2.00
1,1,912,3,4.0000,6,4.0000,17.00
1,1,913,242,2.0000,6,2.0000,34.00
1,1,623,242,4.0000,3,3.0000,34.00
1,1,623,192,1.0000,3,1.0000,3.00
1,1,624,201,1.0000,3,1.0000,4.00
1,1,624,176,2.0000,3,2.0000,30.00
1,1,194,46,1.0000,5,1.0000,1.00
1,1,195,243,100.0000,5,100.0000,100.00
1,1,625,192,2.0000,3,2.0000,1.00
1,1,625,242,4.0000,3,3.0000,31.00
1,1,626,176,1.0000,3,1.0000,29.00
1,1,196,243,100.0000,5,100.0000,0.00
1,1,196,231,10.0000,5,10.0000,0.00
1,1,627,242,3.0000,3,3.0000,0.00
1,1,628,242,5.0000,3,5.0000,26.00
1,1,629,176,2.0000,3,2.0000,27.00
1,1,18,147,1.0000,7,1.0000,0.00
1,1,19,45,1.0000,7,1.0000,0.00
1,1,20,185,5.0000,7,5.0000,39.00
1,1,914,3,6.0000,6,6.0000,11.00
1,1,914,4,5.0000,6,5.0000,0.00
1,1,914,2,5.0000,6,5.0000,6.00
1,1,914,168,5.0000,6,5.0000,12.00
1,1,914,51,5.0000,6,5.0000,19.00
1,1,197,235,15.0000,5,15.0000,863.00
1,1,197,234,15.0000,5,15.0000,190.00
1,1,197,233,15.0000,5,15.0000,78.00
1,1,630,242,4.0000,3,4.0000,0.00
1,1,630,192,1.0000,3,1.0000,0.00
1,1,631,176,3.0000,3,3.0000,0.00
1,1,198,46,1.0000,5,1.0000,0.00
1,1,632,242,4.0000,3,4.0000,0.00
1,1,632,192,1.0000,3,1.0000,0.00
1,1,633,242,4.0000,3,4.0000,21.00
1,1,633,192,1.0000,3,1.0000,0.00
1,1,633,136,2.0000,3,2.0000,0.00
1,1,634,176,3.0000,3,3.0000,24.00
1,1,634,181,10.0000,3,10.0000,14.00
1,1,199,46,1.0000,5,1.0000,1.00
1,1,200,229,10.0000,5,10.0000,10.00
