iiddocument,taxidemisor,tipo_doc,Talonario,NumFactura,documentno,tosend,fecha_emision,taxidreceptor
552,9.10436E+11,1,1130705549,32765,001-002-000000103,N,NULL,NULL
553,9.10436E+11,1,1130705549,32765,001-002-000000103,N,NULL,NULL
554,9.10436E+11,1,1130705549,32765,001-002-000000103,N,NULL,NULL
555,9.10436E+11,1,1130705549,32766,001-002-000000104,N,NULL,NULL
556,9.10436E+11,1,1130705549,32766,001-002-000000104,N,NULL,NULL
557,9.10436E+11,1,1130705549,32766,001-002-000000104,N,NULL,NULL
558,9.10436E+11,1,1130705549,32767,001-002-000000105,N,NULL,NULL
559,9.10436E+11,1,1130705549,32767,001-002-000000105,N,NULL,NULL
560,9.10436E+11,1,1130705549,32767,001-002-000000105,N,NULL,NULL
561,9.09807E+11,1,1130503926,34273,001-002-000000122,N,NULL,NULL
562,9.09807E+11,1,1130503926,34274,001-002-000000123,N,NULL,NULL
563,9.10436E+11,1,1130705549,32768,001-002-000000106,N,NULL,NULL
564,9.10436E+11,1,1130705549,32768,001-002-000000106,N,NULL,NULL
565,9.10436E+11,1,1130705549,32768,001-002-000000106,N,NULL,NULL
566,9.09807E+11,1,1130503926,34275,001-002-000000124,N,NULL,NULL
567,9.10436E+11,1,1130705549,32769,001-002-000000107,N,NULL,NULL
568,9.10436E+11,1,1130705549,32769,001-002-000000107,N,NULL,NULL
569,9.10436E+11,1,1130705549,32769,001-002-000000107,N,NULL,NULL
570,9.09807E+11,1,1130503926,34276,001-002-000000125,N,NULL,NULL
571,9.09807E+11,1,1130503926,34277,001-002-000000126,N,NULL,NULL
572,9.10436E+11,1,1130705549,32770,001-002-000000108,N,NULL,NULL
573,9.10436E+11,1,1130705549,32770,001-002-000000108,N,NULL,NULL
574,9.10436E+11,1,1130705549,32770,001-002-000000108,N,NULL,NULL
575,9.09807E+11,1,1130503926,34278,001-002-000000127,N,NULL,NULL
576,9.09807E+11,1,1130503926,34279,001-002-000000128,N,NULL,NULL
577,9.10436E+11,1,1130705549,32771,001-002-000000109,N,NULL,NULL
578,9.10436E+11,1,1130705549,32771,001-002-000000109,N,NULL,NULL
579,9.10436E+11,1,1130705549,32771,001-002-000000109,N,NULL,NULL
580,9.10436E+11,1,1130705549,32772,001-002-000000110,N,NULL,NULL
581,9.10436E+11,1,1130705549,32772,001-002-000000110,N,NULL,NULL
